JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary
Intern - Sales and Business Development - Brazil,Qualcomm Serviços de Telecomunicações Ltda.,"São Paulo, SP",há 30+ dias,2021-10-18,"As a Qualcomm Sales and Business Development Intern you will support Brazil sales and business development team with the management of the existing business,…",Não informado
Customer Service Coordinator,Guardian Glass,"Campinas, SP",há 30+ dias,2021-10-18,"Keep appropriate departments aware of KPIs, sales trends and business changes. Customer Service Coordinator in Campinas . OClaims process <15 DIAS,.",Não informado
ANALISTA PROJETOS II,Cogna,"São Paulo, SP",há 19 dias,2021-10-18,A função deste colaborador será de BA (Business Analyst) de ofertas comerciais no projeto Digital Finance (implantação sistema SAP) com foco no gerenciamento de…,Não informado
Director- LATAM (Latin America),WebEngage,"São Paulo, SP",há 30+ dias,2021-10-18,"Domain - Experience with analytics, data, databases, or business intelligence preferred. You understand how to build and grow a successful business.",Não informado
novaIntegrated Service Manager - Service Management Process Inte...,Kyndryl,"Hortolândia, SP",há 2 dias,2021-10-18,Follow up on Major Incidents that generate business impact for the client. Identification of the business impact of Major Incidents that directly affect the…,Não informado
Business Intelligence Analyst Sr,Page Personnel,"São Paulo, SP",há 30+ dias,2021-10-18,"Provide effective, flexible and secure BI solutions that support business strategy and operations. Implement and optimize visualization, dashboarding, reporting…",R$ 8 - R$ 15 por hora
Intern,Moody's Corporation,"São Paulo, SP",há 30+ dias,2021-10-18,"Responsible for compiling and updating intelligence market information. Our data, analytical solutions and insights help decision-makers identify opportunities…",Não informado
Estágio BI,CEVA Santé Animale,"Paulínia, SP",há 30+ dias,2021-10-18,"Participar da rotina da área, criação e manutenção de relatórios e dashboards; Apoiar as gerencias de marketing, comercial e técnica nas apresentações e…",Não informado
Director Strategic Planning,Sabre,"São Paulo, SP",há 14 dias,2021-10-18,"The role holder will act as the localized promoter of LATAM LCC Segment strategy, and the customer centric ‘eyes and ears’ intelligence gatherer.",Não informado
Cientista de Dados,Share RH,"Jundiaí, SP",há 30+ dias,2021-10-18,"Superior completo em Engenharia da Computação, Ciência da Computação, Analise de. Sistemas, Estatística, Matemática ou áreas afins;",Não informado
"Manager, Business Development - Digital Partnerships",MasterCard,"São Paulo, SP",há 30+ dias,2021-10-18,"Possess a blend of analytical capability, strategic thinking, and emotional intelligence and able to dive deep on all areas of the business to deliver creative…",Não informado
Regional Government Affairs Director - LATAM,Microsoft,"São Paulo, SP",há 13 dias,2021-10-18,Sound and practical business judgment to balance risk with potential business impact. Possess a keen problem-solving approach focused on achieving results that…,Não informado
Analista Comercial,Não informado,"São Roque, SP",há 30+ dias,2021-10-18,"DADOS DA VAGA Experiência em vendas de material esportivo, conhecimento estratégico comercial, atento as atualizações do mercado  Inteligência de mercado …",R$ 1.001 - R$ 1.500 por mês
"Business Intelligence Engineer, Delivery Experience",Amzn Servicos de Varejo do Bra,"São Paulo, SP",há 30+ dias,2021-10-18,"+ years industry experience in software development, data engineering, business intelligence, data science, or related field with a track record of manipulating…",Não informado
Estágio em Desenvolvimento de Sistemas,IBM,"Hortolândia, SP",há 10 dias,2021-10-18,To think along with clients and sell. Desenvolvimento de scripts para automação de processos básicos de ferramentas de versionamento de código (ex. GitHub).,Não informado
novaTalent Acquisition Partner,IBM,"São Paulo, SP",há 4 dias,2021-10-18,"Work with a team using the most innovative approaches to attraction, sourcing, selection, interviewing, offering, and closing.",Não informado
novaEspecialista de BI,ACCT,"São Paulo, SP",há 4 dias,2021-10-18,"Gostamos do incerto, do complexo, do volátil. Garantir a qualidade das análises entregues para os clientes; Assegurar que os dados estejam disponíveis no tempo…",Não informado
Analista de Business Intelligence (Analytics),Ajinomoto do Brasil,"São Paulo, SP",há 19 dias,2021-10-18,Conhecimento no sistema SAP será um diferencial; Restaurante no local de trabalho (Café da manhã e Almoço);,Não informado
ANALISTA DE INFORMAÇÕES GERENCIAIS - MIS,infracommerce,"Embu das Artes, SP",há 30+ dias,2021-10-18,"Mais que e-commerce, somos especialistas em negócios digitais, em menos de 7 anos conquistamos o mercado de full service para e-commerce no Brasil e na América…",Não informado
Site Identification Lead,Icon plc,"São Paulo, SP",há 16 dias,2021-10-18,You will lead the Site Identification process for studies by being accountable/responsible for the development of Site Identification Plans (based on an…,Não informado
Innovation Intern,Buckman,"Sumaré, SP",há 30+ dias,2021-10-18,"You will work closely with Buckman stakeholders to gain a deep understanding of the water industry, also touching basis with leather, paper and performance…",Não informado
Especialista de Power BI,Ambev,"São Paulo, SP",há 9 dias,2021-10-18,Responsável por desenvolver as visões estratégicas do Ecommerce. Responsabilidades e atribuições Oportunidade de fazer parte de uma das áreas mais…,Não informado
Consultor de BI - Analytics,Grupo ITG,"São Paulo, SP",há 30+ dias,2021-10-18,O profissional passará por treinamentos e atuará em projetos em contato direto com clientes e com a equipe Nórdica para o desenvolvimento de análises de dados…,Não informado
Consultor(a) de BI,Five Acts,"São Paulo, SP",há 25 dias,2021-10-18,"Acreditamos que os dados são o combustível para a transformação das empresas e das pessoas. Com isso em mente, ajudamos nossos clientes a criar soluções…",R$ 3.500 - R$ 8.200 por mês
Coordenador de BI,Red Pill RH,"Barueri, SP",há 19 dias,2021-10-18,"Nosso cliente funciona 24 horas por dia, nos 365 dias do ano, dedicamos a superar as expectativas de nossos beneficiários, atendendo-lhes em situações…",Não informado
Student Worker,S&P Global,"São Paulo, SP",há 30+ dias,2021-10-18,"S&P Global Ratings is a division of S&P Global (NYSE: SPGI), which provides essential intelligence for individuals, companies and governments to make decisions…",Não informado
Jr Manager Consumer Insights Chocolate,Mondelēz International,"São Paulo, SP",há 10 dias,2021-10-18,"Continuously optimize business through data, tracking, learning. You will support our growth and the delivery of excellent business results.",Não informado
ESPECIALISTA DE BI,Grupo Ri Happy,"São Paulo, SP",há 30+ dias,2021-10-18,"Aqui você é bem-vindo (a) em todas as vagas independentemente de gênero, orientação sexual, raça, etnia ou deficiência. O que esperamos de você:",Não informado
Analista em Power BI,Armac,"Barueri, SP",há 13 dias,2021-10-18,"A ARMAC é a maior empresa de locação de máquinas & soluções de linha amarela do Brasil. Com um modelo de negócio disruptivo, implementado ao longo dos últimos 7…",R$ 3.000 - R$ 3.200 por mês
Data Analytics,Webjump,"São Paulo, SP",há 30 dias,2021-10-18,"Habilidades em modelagem de banco de dados, consulta de banco de dados (SQL), plataformas de business intelligence; Conhecimento com segmentação de clientes;",Não informado
Product Manager,Youse,"São Paulo, SP",há 19 dias,2021-10-18,"Esperamos que esta pessoa Product Manager atue em um de nossos squads em prol dos objetivos do negócio, integrando as visões de desenvolvimento de software, ux,…",Não informado
Analista de Marketing,Jobbol,"Indaiatuba, SP",há 18 dias,2021-10-18,"Empresa admite Analista de Marketing em Indaiatuba para atuar em Tempo integral, Jornada Administrativa. Apoio na construção de ações de vendas (trade marketing…",Não informado
Retention & CRM Intern,AMARO,"São Paulo, SP",há 9 dias,2021-10-18,"Have business and marketing skills, or have completed a related course. We bridge the gap between business, technology and people and we always do the right…",Não informado
Sales Operation - LATAM Region,EATON,"Valinhos, SP",há 30+ dias,2021-10-18,Supports the development and use of the opportunity tracking tools and collect the business requirements to enhance the sales processes and improve market…,Não informado
Savory Global Procurement Manager,Firmenich,"Cotia, SP",há 30+ dias,2021-10-18,"Develop & implement end to end business aligned sourcing strategies for key savory raw materials such as Yeast, Dairy, Meats, – Incl. risk mitigation strategies…",Não informado
INVESTOR RELATIONS SPECIALIST,Solinftec,"Araçatuba, SP",há 30+ dias,2021-10-18,"Internally, IR serves as a strategic partner to several groups, providing competitive intelligence, inputs on future initiatives, and bringing in external…",Não informado
Business Transformation Consultant-Big Data,IBM,"São Paulo, SP",há 30+ dias,2021-10-18,Explore more about our business on IBM Play: https://www.ibm.com/events/us/en/ibm-play/. This role may take either a strategic or tactical view of a company's…,Não informado
Gerente Jr de Data Science,Pernod Ricard,"São Paulo, SP",há 13 dias,2021-10-18,"Unified: implement the ‘PRB Digital Dashboard & its automation (Company dashboard of main business KPIs – scope already defined), guaranteeing one source of…",Não informado
Revenue Planning Manager,TikTok,"São Paulo, SP",há 30+ dias,2021-10-18,"Manage all aspects of revenue opportunities across all TikTok products, including inventory, forecasting, pricing and facilitation of booking.",Não informado
Analista de BI Pleno,Kumulus,"Campinas, SP",há 26 dias,2021-10-18,Na Kumulus respiramos inovação e tecnologia todos os dias! Resolvemos os mais diversos problemas de nossos clientes dentro de um ambiente extremamente…,Não informado
Business Analytics Manager (Marketing),Gympass,"São Paulo, SP",há 24 dias,2021-10-18,Relevant professional experience in business intelligence role. Ad-hoc reporting on key business initiatives. Integrate and present data from multiple marketing…,Não informado
novaPortfolio Manager Brasil,IBM,"São Paulo, SP",há 5 dias,2021-10-18,"Practitioners in this job role are responsible for managing an enterprise wide strategy and performance of portfolios for synergy across portfolios, alignment…",Não informado
Customer Development Leader (Remote),ROCKCONTENT,"São Paulo, SP",há 30+ dias,2021-10-18,"Check permanently if each account plan has been updated regarding business intelligence data; As a Senior Customer Development at Rock, you will be responsible…",Não informado
novaData Business Analyst (Data Quality Owner),People Talent,"São Paulo, SP",há 4 dias,2021-10-18,Garantir e fiscalizar a qualidade dos dados que entram nas ferramentas de BI. Ajudar o time de Data Engineering a entender que dados deveriam ser priorizados…,Não informado
Especialista de Bi,Omie,Estado de São Paulo,há 30+ dias,2021-10-18,Responsável por consolidar todos os dados da área de marketing e correlatas necessárias para avaliação; Nosso propósito é trazer prosperidade para o ecossistema…,Não informado
novaPower BI Sênior,Capgemini,"São Paulo, SP",há 3 dias,2021-10-18,Trabalhar com APIs interfaces com Sales Force SAP. Modelagem de Banco de Dados SQL Server.,Não informado
Analista de BI Sênior (Híbrido),JBQ Global,"São Paulo, SP",há 10 dias,2021-10-18,"Planejar, construir e implantar soluções em Power BI; Experiência com SQL Server para modelagem de banco de dados; JBEN Insurance Seguro de vida.",Não informado
Analista de BI,Vertem,"Barueri, SP",há 20 dias,2021-10-18,Estamos criando uma nova equipe para o desenvolvimento de ecossistemas de negócios no Brasil! Experiência com desenvolvimento de estratégias de mercado e…,Não informado
Comprador - Junior,IBM,"São Paulo, SP",há 29 dias,2021-10-18,"Therefore strong communication skills are an integral part of this job role, and as the need for ""quicker to market"" is driving our business then adoption and…",Não informado
Estágio em Dados e Performance,Linx,"São Paulo, SP",há 30+ dias,2021-10-18,"Nossa missão é conduzir grandes varejistas em direção à omnicanalidade, fazendo com que eles vendam mais e de forma integrada em seus canais on e offline (loja…",Não informado
"Senior Business Operations Manager, Sales Operations",Amazon AWS Services Brazil Ltd,"São Paulo, SP",há 30+ dias,2021-10-18,"Making recommendations and supporting the evolution, integration, and implementation of business intelligence and CRM tools. 3+ Years of Salesforce experience.",Não informado
Coordenador de BI,Convert,"São Paulo, SP",há 30+ dias,2021-10-18,"Descrição: Garantir qualidade dos dados gerados, tanto pela agência quanto pelas plataformas, e leitura e análise dos dados das marcas e resultados de…",Não informado
Analista de B.I.,Gestão 4.0,"São Paulo, SP",há 30+ dias,2021-10-18,"O trabalho principal será dentro do time de marketing, focando em entender as diferentes formas de aquisição de usuários (tráfego pago, Inbound, SEO, Instagram,…",Não informado
Coordenador Comercial,The Bridge Vagas,"São Paulo, SP",há 26 dias,2021-10-18,"Desejável conhecer ferramentas de business intelligence (Looker, Tableau, PowerBI, Metabase, QlikView); Acompanhar diariamente os indicadores de venda no varejo…",Não informado
Analista De BI,Unilever,"São Paulo, SP",há 30+ dias,2021-10-18,Irá trabalhar com análises e projetos de modelagem usando dados coletados em local centralizado ou em várias fontes de banco de dados de várias ferramentas da…,Não informado
Analytics Engineer,Nubank,"São Paulo, SP",há 30+ dias,2021-10-18,Mas foi nesse cenário que o Nubank nasceu. Nubank Data Analysts are now called Analytics Engineers. Contribuir para o design e manutenção de nossos pipelines de…,Não informado
Global Data Modeling And Visualization,Zé Delivery,"São Paulo, SP",há 30+ dias,2021-10-18,"Business intelligence, data analytics, business analytics. Strong skills in database modelling, database querying, business intelligence platforms and advanced…",Não informado
Coordenador de B.I.,Authent RH,"São Paulo, SP",há 9 dias,2021-10-18,Fornecer treinamento para usuários-chave internos (possíveis desenvolvedores de visualizações) e para usuários consumidores internos.,Não informado
Estágio em Análise de Sistemas Web,Holos Media,"Pinheiros, SP",há 24 dias,2021-10-18,"Agência Especializada em Campanhas de Mídia Digitial, incluindo Planejamento Estratégico de Campanhas, Gestão de Links Patrocinados, SEO, Web Analytics e…",Não informado
Especialista de Planejamento Comercial,Saúde iD,"São Paulo, SP",há 13 dias,2021-10-18,"Isso significa que você poderá contar com uma plataforma que oferece acesso a hospitais, clínicas e médicos para agendar sua cirurgia, procedimento ou exame com…",Não informado
Analista de BI,Maeztra,"São Paulo, SP",há 10 dias,2021-10-18,"Requisitos Excel Avançado, Power BI SQL. Benefícios Vale-refeição de R$ 550,00; Bonificação por desempenho; Auxílio Home-Office R$ 90,00; Convênio Médico Amil…",Não informado
Tanzu Labs Sales Executive - Opportunity for Working Remotel...,VMware,"São Paulo, SP",há 30+ dias,2021-10-18,"Represent VMware with integrity, maintain an industry credibility, prospect for new business, and establish and strengthen relationships through presenting to…",Não informado
Analista de BI e Analytics,Safra Investimento,"São Paulo, SP",há 30+ dias,2021-10-18,"Experiência prévia com business intelligence em campanhas de mídia digital, familiaridade com métricas do funil de conversão e métricas de campanhas, como CPC,…",Não informado
Analista PowerBI Pleno - Remoto,Nestlé,"Ribeirão Preto, SP",há 30+ dias,2021-10-18,Liderar ou participar em projetos junto a equipe; Experiência mínima com desenvolvimento de projetos em PowerBI de 1 ano (Mandatório).,Não informado
LatAm Analytical Ops Pricing & Incentives Manager,Uber,"Osasco, SP",há 10 dias,2021-10-18,Data-driven decision-making mentality and sound business judgment through strong analytical thinking and experimentation.,Não informado
"Marketing, communication & BI coordinator",CMA CGM,"São Paulo, SP",há 30+ dias,2021-10-18,"Monitor Brazilian macroeconomic figures and events which would impact on business. Create and optimize tools to support on business, as dashboards.",Não informado
Business Intelligence Manager,G4 Global Partners,"São Paulo, SP",há 30+ dias,2021-10-18,"Develop reports and dashboards to support real-time, daily, weekly and monthly business performance review. Perform as a consultant in the sense of simplifying…",Não informado
Business Intelligence Manager,G4 Global Partners,"São Paulo, SP",há 30+ dias,2021-10-18,"Develop reports and dashboards to support real-time, daily, weekly and monthly business performance review. Perform as a consultant in the sense of simplifying…",Não informado
Security Correlation Engineer,IBM,"Hortolândia, SP",há 25 dias,2021-10-18,"IBM provides you with the most comprehensive and consistent approach to development, security and operations across hybrid environments—with complete software…",Não informado
Consultor de Comunicação Financeira/Mercado de capitais,Edelman,"São Paulo, SP",há 30+ dias,2021-10-18,"Responsável pela interface direta com os clientes e alinhamento interno das demandas; Desenvolvimento de planejamentos de comunicação (estratégicos e táticos),…",Não informado
Consultor(a) de Comunicação (BI) - Prazo determinado,FSB Comunicação,"São Paulo, SP",há 30+ dias,2021-10-18,Consultor de BI com experiência na criação de dashboard e ferramentas de monitoramento. Responsabilidades e atribuições Experiência com interações nas redes…,Não informado
LÍDER TÉCNICO BI INTEGRAÇÃO DE DADOS,Global TI,"São Paulo, SP",há 13 dias,2021-10-18,"Experiência técnica como Engenheiro, Arquiteto ou Consultor BI.",Não informado
novaPLA Principal,The Boston Consulting Group,"São Paulo, SP",há 6 dias,2021-10-18,Strong business acumen; can frame complex problems in appropriate business contexts. A University degree with above average academic performance in a STEM…,Não informado
Investigative Analyst III,Milestone Technologies,"São Paulo, SP",há 30+ dias,2021-10-18,"Previous experience in national security or criminal intelligence analysis involving the principles, concepts, and methodologies of all-source intelligence…",Não informado
Customer Success Associate,LSEG (London Stock Exchange Group),"Cardoso, SP",há 30+ dias,2021-10-18,Clearly define business outcomes and orchestrate a comprehensive success plan. Ability to map a customer’s business process to product capability.,Não informado
Analista de BI - Qlik Sense,Leega Consultoria,"Barueri, SP",há 12 dias,2021-10-18,Ficaremos muito felizes em ter você em nosso time.,Não informado
Analista CMI PL,Heineken,"São Paulo, SP",há 24 dias,2021-10-18,Business Problem Solving – Identifies defines and answers the right questions to resolve business problems/ identify business opportunities.,Não informado
BI Coordenador,Taking,"São Paulo, SP",há 30 dias,2021-10-18,"Conhecimentos avançados de Google Analytics/Adobe Analytics; Conhecimento de plataformas de mídia (Facebook, Twitter, Google Ads, etc);",Não informado
Senior Account Executive- Brazil,OutSystems,"São Paulo, SP",há 30+ dias,2021-10-18,Requirements of the customer in order to close the business. Strong technical sales background with ability to explain business value to.,Não informado
ANALISTA DE BI PL,Global TI,"São Paulo, SP",há 30+ dias,2021-10-18,"A GLOBAL TI, desde 2001, vem atuando no mercado de Tecnologia da Informação prestando serviços de forma singular e personalizada para clientes de médio e…",Não informado
Strategy Manager,Lenovo,"São Paulo, SP",há 24 dias,2021-10-18,"Support urgent requests for market information, including intelligence on competitor actions and business performance.",Não informado
Analista Abastecimento Pl.,GPA,"São Paulo, SP",há 30+ dias,2021-10-18,"Atender grande volume de demandas da diretoria de Supply Chain Multivarejo, levando em consideração a qualidade dos trabalhos, o relacionamento com os…",Não informado
Analista Abastecimento Pl.,GPA,"São Paulo, SP",há 30+ dias,2021-10-18,"Atender grande volume de demandas da diretoria de Supply Chain Multivarejo, levando em consideração a qualidade dos trabalhos, o relacionamento com os…",Não informado
Administrative Assistant - Senior,IBM,"São Paulo, SP",há 29 dias,2021-10-18,Organizational skills including planning and execution of business objectives. IBM provides you with the most comprehensive and consistent approach to…,Não informado
Pessoa Analista de Dados/BI Senior,Petlove&Co,"São Paulo, SP",há 13 dias,2021-10-18,"Sobre o time de Dados*. Nosso time é extremamente comprometido e colaborativo. Atuar próximo do time de Core da Petlove & Co (Comercial, Ressuprimento,…",Não informado
Gerente de Advanced Analytics,Gesto,"São Paulo, SP",há 20 dias,2021-10-18,"Sólidos conhecimentos em estatística (descritiva, inferencial, amostragem) e aplicação de análises estatísticas em dados para obtenção de informação.",R$ 90 por dia
Analista Power BI,Beijaflore Brasil,"São Paulo, SP",há 30+ dias,2021-10-18,Você irá atuar em projetos de BI em atendimento as necessidades dos nossos clientes; Você irá criar relatórios e dashboard no Power BI;,Não informado
Analista de BI (Web Analytics),Brivia,"São Paulo, SP",há 30+ dias,2021-10-18,"Seja qual for o seu gênero, orientação sexual, idade, raça, etnia, crença ou deficiência, todos são bem-vindos no nosso time. No dress code, seja 100% você;",Não informado
Estagiário(a) de BI (Planejamento Financeiro),Construtora Patriani,"Santo André, SP",há 23 dias,2021-10-18,Apoio à gestão nas melhorias e gerenciamento de relatórios no Power BI;,Não informado
Analista de Marketing,Cielo,"Barueri, SP",há 30+ dias,2021-10-18,"Apoio no desenvolvimento de testes a/b de mídia. Extração e manipulação de dados internos Cielo (rentabilidade, credenciamentos, base de clientes).",Não informado
Research Manager Brazil,Teads,"São Paulo, SP",há 30+ dias,2021-10-18,"Designing measurement methodologies linked to our clients business objectives. Working very cross-functionally on an international scale, the Teads Intelligence…",Não informado
Business Analyst Senior - Growth Intelligence,QuintoAndar,"São Paulo, SP",há 30+ dias,2021-10-18,O QuintoAndar é uma empresa de tecnologia que nasceu para simplificar a vida de quem busca um novo lar. Estamos revolucionando o mercado imobiliário com um…,Não informado
Cientista de Dados,Docway,"São Paulo, SP",há 13 dias,2021-10-18,"É isso que nos move, é por isso que somos apaixonados. Disponibilizar e treinar times técnicos em frameworks e processos relacionados à cultura analítica.",Não informado
Corporate Security Americas Risk & Crisis Manager - São Paul...,JTI - Japan Tobacco International,"São Paulo, SP",há 26 dias,2021-10-18,"We believe when they’re free to be themselves, grow, travel and develop, amazing things can happen for our business. Post-graduate or Master Diploma is a plus.",Não informado
Data Specialist,Pitang,Estado de São Paulo,há 25 dias,2021-10-18,Excelentes capacidades de criação de perfis de dados; Conhecimentos especializados em SQL e linguagens de procedimentos SQL relacionados.,Não informado
Gerente de Projetos Analytics / BI,Ewave do Brasil,"São Paulo, SP",há 30+ dias,2021-10-18,Utilizará ferramentas internas para atualizar status; Será responsável pela atualização das estimativas de contas a pagar referente a projeto e apresentações de…,Não informado
Arquiteto/Especialista BigData,Indra,"São Paulo, SP",há 30+ dias,2021-10-18,4 anos de experiência com Business Intelligence (ETL diversas ferramentas);,Não informado
Analista de Dados - BI,Fagron,"Jundiaí, SP",há 30+ dias,2021-10-18,O Analista de Dados BI será responsável por elaborar relatórios através da busca e consolidação dos dados em diversas fontes.,Não informado
Analista de BI,Digital House Brasil,"São Paulo, SP",há 11 dias,2021-10-18,"Estamos transformando carreiras, ensinando de forma inovadora, com o propósito de mudar vidas através da educação. No dress code - Trabalhe como quiser!",Não informado
Customer Success Manager,LSEG (London Stock Exchange Group),"Cardoso, SP",há 30+ dias,2021-10-18,Bring in customer intelligence and feedback. Ability to map a customer’s business process to product capability. Breadth & depth of customer relationships.,Não informado
Analista de BI SR,Cyrela,"São Paulo, SP",há 27 dias,2021-10-18,"Retroalimentar as áreas com informações que poderão melhorar a performance; Superior completo em Tecnologia, Economia, Engenharia, Matemática ou áreas…",Não informado
ANALISTA DE CRO EM SÃO PAULO,OEmprego,"São Paulo, SP",há 30+ dias,2021-10-18,"Importante ter conhecimento em marketing de conteúdo, funil de vendas, e noções de Business Intelligence..",R$ 2.500 por mês
Analista de BI Sr,Dentsu Aegis Network,"São Paulo, SP",há 30+ dias,2021-10-18,The role will help drive BI requirements with clients and ensure accurate reporting documentation is captured.,Não informado
Analista de Power BI | Presencial ou Remoto,Eleflow Big Data,"São Paulo, SP",há 30+ dias,2021-10-18,"Com um time de Desenvolvedores, Engenheiros, Cientistas e Analistas de Dados experientes, motivados e curiosos buscamos ser os diferenciadores nos projetos que…",Não informado
Analista de BI,CARPEDIEM CONSULTORIA,"São Paulo, SP",há 30+ dias,2021-10-18,"Será responsável pela extração e análise de dados, confecção de dashboards reporte de cenários e informações ao corpo gerencial para facilitação dos processos…",Não informado
ANALISTA DE BI JÚNIOR - EM SÃO PAULO - SP,OEmprego,"São Paulo, SP",há 30+ dias,2021-10-18,"Cargo: Analista de BI Júnior Quantidade: 1 Estado/País: SP - Brasil Cidade: São Paulo Descrição: Analisar e levantar requisitos, definir modelagem e modelos…",Não informado
Analista de Business Intelligence - Sênior,Integrity Consulting,"São Paulo, SP",há 30+ dias,2021-10-18,"O nosso cliente é um Banco Digital, um dos mais importantes do Brasil. Apoiar a equipe em dúvidas técnicas; Transcrever scripts em T-SQL para PL/SQL;",Não informado
ANALISTA DE BI | SEGMENTO PET | SÃO PAULO,Venha ser um Souler e trasnforme a experiência de...,"São Paulo, SP",há 30+ dias,2021-10-18,Esta oportunidade fará toda a diferença na construção da sua carreira. Capacitar Field Force em relação à utilização das ferramentas de coleta e uso do dash…,Não informado
Sr. Sourcer Specialist based in Sao Paulo,Labcorp,"São Paulo, SP",há 30+ dias,2021-10-18,"You bring previous sourcing experience, with strong emphasis on talent intelligence, networking and building talent engaged pools.",Não informado
4022 - Analista BI,GLOBAL HITSS,"São Paulo, SP",há 12 dias,2021-10-18,"Conhecimento em Hadoop, SQL, Python, Java e C #;",Não informado
"Compliance Officer, Payments",Amzn Servicos de Varejo do Bra,"São Paulo, SP",há 30+ dias,2021-10-18,Prepare reports to senior management and senior business leaders with timely and actionable intelligence concerning the health of compliance programs.,Não informado
Project Manager - Data Platforms Pleno,IBM,"São Paulo, SP",há 16 dias,2021-10-18,"At IBM, our Project Managers excel by leading and coordinating a project team’s overall performance, scope, cost, and deliverables.",Não informado
Project Manager - Data Platforms Pleno,IBM,"São Paulo, SP",há 16 dias,2021-10-18,"At IBM, our Project Managers excel by leading and coordinating a project team’s overall performance, scope, cost, and deliverables.",Não informado
AliExpress Supply Chain & Logistics Manager Brazil,Alibaba,"São Paulo, SP",há 30+ dias,2021-10-18,Lead/Contribute for the solution to make business with improved seller & buyer experience. Fluent in Portuguese and English speaking and eCommerce/Marketplace…,Não informado
Regional Data Manager (LAC),Marsh,"São Paulo, SP",há 23 dias,2021-10-18,Familiarity with various analytical and business intelligence methods and tools. Work with regional business users on translating their use cases into business…,Não informado
Analista de Pricing,C&A,"Barueri, SP",há 26 dias,2021-10-18,"Experiência anterior em empresas de varejo, trabalhando diretamente com Pricing, data analytics, business intelligence;",Não informado
Digital Content Lead,3M,"Sumaré, SP",há 30+ dias,2021-10-18,Collaborate with innovative 3Mers around the world. As Digital Content Lead you will play a key role in the division of Custormer Operations for Consumer…,Não informado
"Personal Workspace Category Manager, Brazil",Logitech,"São Paulo, SP",há 30+ dias,2021-10-18,"Maintain intelligence on competition products performance. BS degree in business, project management, marketing, sales or similar.",Não informado
ANALISTA INTELIGENCIA NEGOCIOS | DESENV DE RELATÓRIOS,Edenred,"São Paulo, SP",há 30+ dias,2021-10-18,"Experiência Profissional: Mínimo de 2 anos de experiência em MIS, relatórios gerenciais, business intelligence, preferencialmente em empresas do segmento…",Não informado
Sales Consultant,SIRVA,"Alphaville, SP",há 24 dias,2021-10-18,"Maintain market intelligence on competitor activities. Identify, build and maintain winning business relationships. Execute regional sales strategies and plans.",Não informado
Senior Market Intelligence Analyst - São Paulo,BAXTER,"São Paulo, SP",há 24 dias,2021-10-18,"Será responsável por BI (Business Intelligence) em sua totalidade quanto a organização das bases da empresa relacionadas a vendas e marketing, a fim de prover a…",Não informado
Test Specialist-Automation,IBM,"Campinas, SP+2 locais",há 9 dias,2021-10-18,"As a Test Specialist at IBM, your analytical and technical skills will directly impact the quality of the software we create.",Não informado
Procurement Manager,EY,"São Paulo, SP",há 27 dias,2021-10-18,"Act as a trusted business advisor and support EY stakeholders, aligning procurement projects with the business pipeline;",Não informado
Grains and Oilseeds price specialist,S&P Global,"São Paulo, SP",há 30+ dias,2021-10-18,"Grade ( relevant for internal applicants only ): 9. The Impact: We are seeking a price specialist with corn market experience, able to drive our grains and…",Não informado
"Director, Marketing - Brazil","Rimini Street, Inc.","São Paulo, SP",há 30+ dias,2021-10-18,Manage marketing budget and program performance to ensure achievement of business targets while maximizing value within defined budgets.,Não informado
FSP - Site Relationship Partner,Parexel,Brasil,há 27 dias,2021-10-18,Responsible for proactively providing local intelligence. ExecuPharm is the North American clinical operations business within Parexel FSP.,Não informado
Analista BI PL/Sr,Mazzatech,"Morumbi, SP",há 24 dias,2021-10-18,EXPERIÊNCIA: Sistemas da Informação - Imprescindível conhecimento Qlik View; BI Extração de relatórios; Melhorias e soluções Atividades: Análise e solução de…,Não informado
Analista de Power BI Pleno,CARPEDIEM CONSULTORIA,"São Paulo, SP",há 16 dias,2021-10-18,O profissional deverá manipular e construir relatórios dentro do POWER BI (imprescindível o domínio da ferramenta da Microsoft.,Não informado
Commercial Associate,S&P Global,"São Paulo, SP",há 30+ dias,2021-10-18,"Monitor product usage and develop account profiles including geographic/departmental presence, relationship history and business interests to help develop…",Não informado
Analista de Produtos Sr,Lenovo,"São Paulo, SP",há 30+ dias,2021-10-18,"Suporte ao segmento de SMB por meio de elaboração de campanhas de marketing para geração de demanda; Interação e alinhamentos com diversas áreas parceiras, tais…",Não informado
Onboarding Manager Brazil,Emplifi,"São Paulo, SP",há 30+ dias,2021-10-18,"Street smarts, emotional intelligence, powerful work ethic and competitive drive to be the best. Experience in working with people of different seniority levels…",Não informado
novaCientista de Dados,Curriculum.com.br,"São Paulo, SP",há 4 dias,2021-10-18,"Ensino superior completo; Inglês avançado; Gestão de equipes e projetos de grande porte de Data Warehouse, Business Intelligence e Advanced Analytics;…",Não informado
Data Engineer - Business Intelligence Junior,IBM,"São Paulo, SP",há 19 dias,2021-10-18,"As a savvy liaison for our teams, you will create solutions and provide actionable insights that shape the future of our business.",Não informado
Analista de Bi (TI),Não informado,"São Paulo, SP",há 12 dias,2021-10-18,"Atuar como analista Power BI e Analysis Services (SSAS); Elaborar relatórios analíticos validando os dados e disposição das informações (layout, iconografia etc…",R$ 10.000 por mês
